-1 8.3758 11.6892
-1 5.5483 8.72573
-1 8.1215 11.422
-1 9.0525 13.3316
-1 8.7413 12.266
0 8.1812 11.4094
1 7.9384 11.223
2 7.4484 10.4862
3 6.9316 10.0164
4 7.9380 11.3299
5 7.5286 10.4564
6 7.2693 9.87807
7 7.3679 10.4587
8 6.8867 9.61158
9 6.9219 9.51038
10 6.7719 9.7866
11 7.2388 10.1896
12 7.1118 10.23
13 7.1900 10.1643
14 7.1742 10.0444
15 7.2579 10.1938
16 7.1573 10.0471
17 6.9682 9.58997
18 7.5335 10.6917
19 7.1462 10.2705
20 7.1849 10.3311
21 6.9901 10.0893
22 6.3409 8.87042
23 6.6414 9.53304
24 6.7775 9.4047
25 7.2787 10.592
27 6.2628 8.8064
28 6.9738 9.58924
29 7.0768 10.302
30 6.8146 9.41822
37 6.5422 9.52168
42 6.3234 8.99246
48 5.7490 9.09472
58 7.0463 9.38182
71 6.2380 9.14573
76 7.3958 10.2002
83 6.6512 9.73914
88 6.4109 9.31136
95 6.2339 8.91422
100 6.8775 9.3886
111 6.3747 8.79071
121 6.4447 9.10377
127 6.4476 9.51919
132 6.7727 8.72434
138 6.2436 8.82698
143 6.6789 9.86081
155 6.1078 10.5695
160 4.9988 8.82837
171 6.6271 9.38546
176 6.7596 9.85182
180 6.3570 9.01673
278 6.2040 10.0337
375 5.2957 9.75392
