-1 7.25329 10.5658
-1 6.56539 10.3738
-1 7.56908 11.1621
-1 8.89357 12.6987
-1 7.63359 11.2836
-1 8.7315 13.0107
0 6.6211 9.86647
1 5.03189 9.17629
2 5.88197 9.7756
3 6.52781 9.84687
4 6.37264 9.73405
5 6.20311 9.76106
6 6.81603 10.3451
7 6.64944 10.1952
8 5.76344 9.44232
9 4.66118 9.82763
10 6.61717 10.0964
11 6.67369 9.86688
12 6.24878 10.0167
13 6.54859 9.82242
14 6.45553 9.68616
16 6.51726 10.2284
17 3.41752 8.5064
18 5.62498 8.88223
19 5.93018 9.48243
20 6.08983 9.26143
21 5.20172 8.36667
22 6.28628 9.82425
23 5.91355 8.89714
24 0 8.67611
25 5.65423 8.54581
27 6.08153 9.56754
28 6.1799 9.51036
29 5.947 9.06772
